stop_sequence,from_id,to_id,scheduled_time,status,line,type,day,part_of_the_day,delay
3.0,32905,125,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
2.0,54,93,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,1
11.0,58,116,5,departed,Main Line,NJ Transit,Thursday,early_morning,1
5.0,84,83,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
1.0,144,144,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
5.0,85,59,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
2.0,123,113,5,departed,Bergen Co. Line ,NJ Transit,Thursday,early_morning,0
6.0,109,41,5,cancelled,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,150,153,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
11.0,11,127,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
14.0,38187,105,5,estimated,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
10.0,158,119,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,1
9.0,4,40,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
16.0,23,106,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
4.0,118,90,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
6.0,9,71,5,departed,Atl. City Line,NJ Transit,Thursday,early_morning,0
4.0,125,103,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
5.0,23,112,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
2.0,144,78,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,145,145,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
5.0,26,135,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
1.0,124,124,5,departed,Princeton Shuttle,NJ Transit,Thursday,early_morning,0
5.0,141,15,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
5.0,21,36,5,departed,Raritan Valley,NJ Transit,Thursday,early_morning,0
1.0,148,148,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
3.0,93,101,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
5.0,90,114,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
6.0,153,152,5,departed,Montclair-Boonton,NJ Transit,Thursday,early_morning,0
6.0,92,30,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
4.0,45,18,5,departed,Gladstone Branch,NJ Transit,Thursday,early_morning,0
3.0,38187,107,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,1
6.0,112,61,5,departed,Morristown Line,NJ Transit,Thursday,early_morning,0
6.0,59,37169,5,departed,No Jersey Coast,NJ Transit,Thursday,early_morning,0
1.0,32906,32906,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
6.0,114,159,5,departed,Pascack Valley,NJ Transit,Thursday,early_morning,0
3.0,78,38417,5,departed,Main Line,NJ Transit,Thursday,early_morning,0
6.0,83,127,5,departed,Northeast Corrdr,NJ Transit,Thursday,early_morning,0
